Country Name,Year,Incidents
Albania,1994,2
Argentina,1994,14
Armenia,1994,4
Australia,1994,9
Austria,1994,5
Azerbaijan,1994,11
Belarus,1994,1
Bolivia,1994,8
Bulgaria,1994,2
Cambodia,1994,39
Canada,1994,4
Costa Rica,1994,1
Croatia,1994,4
Czech Republic,1994,1
Djibouti,1994,2
Dominican Republic,1994,7
Ecuador,1994,6
Egypt,1994,143
El Salvador,1994,21
Estonia,1994,6
Finland,1994,1
France,1994,97
Gambia,1994,1
Georgia,1994,18
Germany,1994,79
Ghana,1994,4
Greece,1994,42
Guatemala,1994,84
Guinea,1994,2
Haiti,1994,27
Honduras,1994,6
Hungary,1994,2
Indonesia,1994,5
Ireland,1994,10
Italy,1994,18
Jamaica,1994,2
Japan,1994,9
Jordan,1994,6
Kenya,1994,5
Latvia,1994,2
Lebanon,1994,67
Lesotho,1994,3
Macedonia,1994,1
Mexico,1994,42
Morocco,1994,2
Netherlands,1994,3
New Zealand,1994,1
Nicaragua,1994,19
Norway,1994,2
Pakistan,1994,154
Panama,1994,3
Paraguay,1994,2
Peru,1994,91
Philippines,1994,72
Poland,1994,4
Portugal,1994,1
Sierra Leone,1994,22
Singapore,1994,1
Slovenia,1994,1
South Africa,1994,174
South Korea,1994,2
Spain,1994,55
Sweden,1994,1
Tajikistan,1994,31
Thailand,1994,24
Trinidad and Tobago,1994,1
Tunisia,1994,1
Turkey,1994,300
Uganda,1994,13
Ukraine,1994,10
United Kingdom,1994,256
United States,1994,55
Uruguay,1994,4
Venezuela,1994,12
Vietnam,1994,1
Yemen,1994,19
Argentina,1995,16
Armenia,1995,1
Australia,1995,5
Austria,1995,12
Azerbaijan,1995,2
Bolivia,1995,2
Botswana,1995,1
Bulgaria,1995,2
Cambodia,1995,56
Canada,1995,5
Croatia,1995,1
Czech Republic,1995,3
Denmark,1995,6
Djibouti,1995,2
Ecuador,1995,6
Egypt,1995,102
El Salvador,1995,9
Estonia,1995,2
Finland,1995,1
France,1995,71
Gambia,1995,1
Georgia,1995,17
Germany,1995,147
Ghana,1995,1
Greece,1995,8
Guatemala,1995,82
Haiti,1995,34
Honduras,1995,12
Indonesia,1995,24
Ireland,1995,3
Italy,1995,1
Jamaica,1995,1
Japan,1995,20
Jordan,1995,3
Kenya,1995,4
Latvia,1995,1
Lebanon,1995,38
Lithuania,1995,2
Macedonia,1995,1
Mexico,1995,29
Morocco,1995,1
Netherlands,1995,7
Nicaragua,1995,18
Pakistan,1995,666
Panama,1995,6
Paraguay,1995,12
Peru,1995,44
Philippines,1995,63
Poland,1995,4
Portugal,1995,3
Romania,1995,1
Sierra Leone,1995,14
South Africa,1995,32
South Korea,1995,4
Spain,1995,44
Swaziland,1995,1
Sweden,1995,1
Switzerland,1995,5
Tajikistan,1995,34
Thailand,1995,12
Trinidad and Tobago,1995,4
Tunisia,1995,1
Turkey,1995,133
Uganda,1995,7
Ukraine,1995,2
United Kingdom,1995,22
United States,1995,60
Uruguay,1995,1
Venezuela,1995,11
Vietnam,1995,1
Yemen,1995,8
Zambia,1995,1
Albania,1996,6
Argentina,1996,19
Armenia,1996,1
Australia,1996,5
Austria,1996,4
Azerbaijan,1996,2
Bolivia,1996,1
Bulgaria,1996,12
Cambodia,1996,33
Canada,1996,1
Costa Rica,1996,1
Croatia,1996,3
Czech Republic,1996,3
Dominican Republic,1996,3
Ecuador,1996,5
Egypt,1996,51
El Salvador,1996,7
Estonia,1996,1
France,1996,270
Georgia,1996,3
Germany,1996,52
Ghana,1996,2
Greece,1996,20
Guatemala,1996,26
Guinea,1996,1
Haiti,1996,27
Honduras,1996,19
Hungary,1996,13
Indonesia,1996,65
Ireland,1996,1
Italy,1996,8
Jamaica,1996,1
Japan,1996,8
Jordan,1996,2
Kenya,1996,3
Kyrgyzstan,1996,5
Lebanon,1996,39
Lithuania,1996,3
Mauritania,1996,1
Mexico,1996,75
Morocco,1996,2
Netherlands,1996,6
New Zealand,1996,2
Nicaragua,1996,26
Norway,1996,1
Pakistan,1996,180
Panama,1996,2
Peru,1996,42
Philippines,1996,61
Poland,1996,6
Sierra Leone,1996,5
Slovenia,1996,3
South Africa,1996,47
South Korea,1996,1
Spain,1996,63
Sweden,1996,1
Switzerland,1996,4
Tajikistan,1996,22
Thailand,1996,19
Trinidad and Tobago,1996,3
Turkey,1996,54
Uganda,1996,29
Ukraine,1996,3
United Kingdom,1996,36
United States,1996,35
Uruguay,1996,1
Venezuela,1996,12
Vietnam,1996,1
Yemen,1996,8
Zambia,1996,4
Albania,1997,41
Argentina,1997,11
Australia,1997,4
Austria,1997,1
Azerbaijan,1997,1
Bahamas,1997,2
Belarus,1997,2
Bolivia,1997,4
Bulgaria,1997,3
Cambodia,1997,18
Canada,1997,2
Costa Rica,1997,1
Croatia,1997,8
Czech Republic,1997,4
Djibouti,1997,1
Dominican Republic,1997,12
Ecuador,1997,4
Egypt,1997,22
El Salvador,1997,2
France,1997,130
Georgia,1997,6
Germany,1997,12
Ghana,1997,1
Greece,1997,21
Guatemala,1997,26
Guyana,1997,1
Haiti,1997,16
Honduras,1997,22
Hungary,1997,17
Indonesia,1997,27
Ireland,1997,4
Italy,1997,8
Jamaica,1997,8
Japan,1997,5
Jordan,1997,3
Kenya,1997,17
Latvia,1997,2
Lebanon,1997,46
Lithuania,1997,1
Macedonia,1997,2
Mexico,1997,95
Netherlands,1997,1
New Zealand,1997,1
Nicaragua,1997,7
Pakistan,1997,206
Panama,1997,6
Paraguay,1997,6
Peru,1997,58
Philippines,1997,57
Poland,1997,3
Sierra Leone,1997,3
Slovenia,1997,1
South Africa,1997,17
Spain,1997,86
Swaziland,1997,1
Sweden,1997,4
Switzerland,1997,1
Tajikistan,1997,40
Thailand,1997,20
Turkey,1997,44
Uganda,1997,24
Ukraine,1997,2
United Kingdom,1997,78
United States,1997,42
Uruguay,1997,2
Venezuela,1997,41
Vietnam,1997,2
Yemen,1997,19
Albania,1998,7
Armenia,1998,2
Australia,1998,6
Austria,1998,1
Bulgaria,1998,2
Cambodia,1998,7
Canada,1998,4
Ecuador,1998,3
Egypt,1998,3
France,1998,12
Georgia,1998,12
Germany,1998,6
Greece,1998,28
Guyana,1998,2
Haiti,1998,1
Hungary,1998,2
Indonesia,1998,3
Ireland,1998,3
Italy,1998,6
Japan,1998,1
Jordan,1998,1
Kenya,1998,2
Latvia,1998,4
Lebanon,1998,23
Macedonia,1998,5
Mexico,1998,2
Pakistan,1998,37
Peru,1998,5
Philippines,1998,18
